Neighborhood,Population density per square kilometre
Agincourt North,3929
Agincourt South-Malvern West,3034
Alderwood,2435
Annex,10863
Banbury-Don Mills,2775
Bathurst Manor,3377
Bay Street Corridor,14097
Bayview Village,4195
Bayview Woods-Steeles,3240
Bedford Park-Nortown,4209
Beechborough-Greenbrook,3614
Bendale,4011
Birchcliffe-Cliffside,3765
Black Creek,6282
Blake-Jones,8134
Briar Hill-Belgravia,7791
Bridle Path-Sunnybrook-York Mills,1040
Broadview North,6764
Brookhaven-Amesbury,5045
Cabbagetown-South St. James Town,8335
Caledonia-Fairbank,6464
Casa Loma,5683
Centennial Scarborough,2479
Church-Yonge Corridor,23044
Clairlea-Birchmount,3632
Clanton Park,3979
Cliffcrest,2273
Corso Italia-Davenport,7478
Danforth,8554
Danforth East York,7881
Don Valley Village,6441
Dorset Park,4146
Dovercourt-Wallace Emerson-Junction,9819
Downsview-Roding-CFB,2337
Dufferin Grove,8540
East End-Danforth,8038
Edenbridge-Humber Valley,2840
Eglinton East,7051
Elms-Old Rexdale,3306
Englemount-Lawrence,6466
Eringate-Centennial-West Deane,2171
Etobicoke West Mall,6582
Flemingdon Park,9026
Forest Hill North,8054
Forest Hill South,4380
Glenfield-Jane Heights,5864
Greenwood-Coxwell,8582
Guildwood,2673
Henry Farm,6047
High Park North,11726
High Park-Swansea,4893
Highland Creek,2403
Hillcrest Village,3148
Humber Heights-Westmount,3981
Humber Summit,1570
Humbermede,3565
Humewood-Cedarvale,7682
Ionview,7031
Islington-City Centre West,2712
Junction Area,5442
Keelesdale-Eglinton West,6467
Kennedy Park,4770
Kensington-Chinatown,11806
Kingsview Village-The Westway,4356
Kingsway South,3593
Lambton Baby Point,4697
L'Amoreaux,6144
Lansing-Westgate,3038
Lawrence Park North,6407
Lawrence Park South,4685
Leaside-Bennington,3596
Little Portugal,12859
Long Branch,4584
Malvern,4948
Maple Leaf,4012
Markland Wood,3614
Milliken,2830
Mimico ,4915
includes Humber Bay Shores,3041
,14753
Morningside,6442
Moss Park,7291
Mount Dennis,5411
Mount Olive-Silverstone-Jamestown,21969
Mount Pleasant East,3342
Mount Pleasant West,3926
New Toronto,5070
Newtonbrook East,10156
Newtonbrook West,6770
Niagara,44321
North Riverdale,7444
North St. James Town,9511
Oakridge,3780
Oakwood Village,3997
O'Connor-Parkview,9601
Old East York,4691
Palmerston-Little Italy,2547
Parkwoods-Donalda,8671
Pelmo Park-Humberlea,5273
Playter Estates-Danforth,2138
Pleasant View,16880
Princess-Rosethorn,4229
Regent Park,4414
Rexdale-Kipling,9851
Rockcliffe-Smythe,4500
Roncesvalles,1260
Rosedale-Moore Park,6333
Rouge,4734
Runnymede-Bloor West Village,5395
Rustic,9583
Scarborough Village,3136
South Parkdale,2430
South Riverdale,5436
St.Andrew-Windfields,3199
Steeles,5073
Stonegate-Queensway,15528
Tam O'Shanter-Sullivan,6058
Taylor-Massey,3130
The Beaches,6787
Thistletown-Beaumond Heights,9570
Thorncliffe Park,5395
Trinity-Bellwoods,3710
University,8943
Victoria Village,2856
Waterfront Communities-The Island,1117
West Hill,7339
West Humber-Clairville,7197
Westminster-Branson,7601
Weston,2724
Weston-Pelham Park,10087
Wexford/Maryvale,5820
Willowdale East,4007
Willowdale West,4345
Willowridge-Martingrove-Richview,7838
Woburn,6722
Woodbine Corridor,8541
Woodbine-Lumsden,7162
Wychwood,10708
Yonge-Eglinton,2086
Yonge-St.Clair,2451
York University Heights,
Yorkdale-Glen Park,
